"12-Bar Original"	1965	Anthology 2	Lennon, McCartney, Harrison and Starkey		—	—	
"Like Dreamers Do"	1962	Anthology 1	McCartney	McCartney	—	—	Recorded by The Applejacks
"Little Child"	1963	UK: With the Beatles US: Meet The Beatles!	Lennon and McCartney	Lennon and McCartney	—	—	
"Lonesome Tears in My Eyes"	1963	Live at the BBC	J. Burnette, D. Burnette, Burlison, Mortimer	Lennon	—	—	Cover
"Long Tall Sally"	1964	UK: Rock 'n' Roll Music US: The Beatles Second Album	Blackwell, Johnson, Penniman	McCartney	—	—	Cover; EP release (UK)
"Long, Long, Long"	1968	The Beatles	Harrison	Harrison	—	—	
"Looking Glass"	1962		McCartney	McCartney	—	—	
"Love Me Do"	1962	UK: Please Please Me US: The Early Beatles	McCartney, with Lennon	McCartney, with Lennon	4	1	featuring Andy White on drums
"Love of the Loved"	1962		McCartney, with Lennon	McCartney	—	—	Single by Cilla Black, September 1963
"Love You To"	1966	Revolver	Harrison	Harrison	—	—	
"Lovely Rita"	1967	Sgt. Pepper's Lonely Hearts Club Band	McCartney	McCartney	—	—	
"Lucille"	1963	Live at the BBC	Penniman, Collins	McCartney	—	—	Cover
"Lucy in the Sky with Diamonds"	1967	Sgt. Pepper's Lonely Hearts Club Band	Lennon with McCartney	Lennon	—	—	
"Madman"	1969		Lennon	Lennon	—	—	From "Get Back/Let It Be" recording sessions
"Maggie Mae"	1969	Let It Be	Traditional, arr. Lennon, McCartney, Harrison, Starkey	Lennon	—	—	Cover, not on "Let It Be...Naked"
"Magical Mystery Tour"	1967	Magical Mystery Tour	McCartney, with Lennon	McCartney	—	—	
"Mailman, Bring Me No More Blues"	1969	Anthology 3	Row, Katz, Roberts, Clayton	Lennon	—	—	Cover
"Martha My Dear"	1968	The Beatles	McCartney	McCartney	—	—	
"Matchbox"	1964	UK: Rock 'n' Roll Music US: Something New	Perkins, Jefferson	Starkey (Best)	—	17	Cover; US single only; EP release (UK)
"Maxwell's Silver Hammer"	1969	Abbey Road	McCartney	McCartney	—	—	
"Mean Mr. Mustard"	1969	Abbey Road	Lennon	Lennon	—	—	
"Memphis, Tennessee"	1963	Live at the BBC	Berry	Lennon	—	—	Cover
"Michelle"	1965	Rubber Soul	McCartney, with Lennon	McCartney	—	—	
"Misery"	1963	UK: Please Please Me US: Rarities	Lennon, with McCartney	Lennon, with McCartney	—	—	
"Money (That's What I Want)"	1963	UK: With the Beatles US: The Beatles Second Album	Gordy, Bradford	Lennon	—	—	Cover
"Moonlight Bay"	1963	Anthology 1	Percy Wenrich, Edward Madden	Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise	—	—	Performed on the Morecambe and Wise Show in 2/12/63
"Mother Nature's Son"	1968	The Beatles	McCartney	McCartney	—	—	
"Mr. Moonlight"	1964	UK: Beatles for Sale US: Beatles '65	Johnson	Lennon	—	—	Cover
"My Bonnie"	1961	Anthology 1	Traditional, arr. Sheridan	Sheridan	—	—	
"No Reply"	1964	UK: Beatles for Sale US: Beatles '65	Lennon, with McCartney	Lennon, with McCartney	—	—	
"Norwegian Wood (This Bird Has Flown)"	1965	Rubber Soul	Lennon, with McCartney	Lennon	—	—	
"Not a Second Time"	1963	With the Beatles	Lennon	Lennon	—	—	
"Not Guilty"	1968	Anthology 3	Harrison	Harrison	—	—	The Beatles (White Album) outtake
"Nothin' Shakin' (But the Leaves on the Trees)"	1963	Live at the BBC	Fontaine	Harrison	—	—	Cover
"Nowhere Man"	1965	UK: Rubber Soul US: Yesterday and Today	Lennon	Lennon	—	3	US single only
"Ob-La-Di, Ob-La-Da"	1968	The Beatles	McCartney	McCartney	—	49	Released as a single in the U.S. in 1976
"Octopus's Garden"	1969	Abbey Road	Starkey, with uncredited assistance from Harrison	Starkey	—	—	
"Oh! Darling"	1969	Abbey Road	McCartney	McCartney	—	—	
"Old Brown Shoe"	1969	UK: 1967-1970 US: Hey Jude	Harrison	Harrison	—	—	B-side
"One After 909"	1969	Let It Be	Lennon	Lennon, with McCartney	—	—	
"One and One Is Two"	1964		McCartney	McCartney	—	—	Single by the Strangers with Mike Shannon, May 1964
"Only a Northern Song"	1967	Yellow Submarine	Harrison	Harrison	—	—	
"Ooh! My Soul"	1963	Live at the BBC	Penniman	McCartney	—	—	Cover
"P.S. I Love You"	1962	UK: Please Please Me US: The Early Beatles	McCartney, with Lennon	McCartney	4	10	
"Paperback Writer"	1966	UK: A Collection of Beatles Oldies US: Hey Jude	McCartney	McCartney	1	1	
"Penny Lane"	1966	Magical Mystery Tour	McCartney	McCartney	2	1	Double A-side with "Strawberry Fields Forever". Featuring David Mason on Piccolo trumpet
"Piggies"	1968	The Beatles	Harrison	Harrison	—	—	
"Please Mr. Postman"	1963	UK: With the Beatles US: The Beatles Second Album	Dobbins, Garrett, Holland, Bateman, Gorman	Lennon	—	—	Cover
"Please Please Me"	1962	UK: Please Please Me US: The Early Beatles	Lennon	Lennon, with McCartney	2	3	
"Polythene Pam"	1969	Abbey Road	Lennon	Lennon	—	—	
"Rain"	1966	UK: Rarities US: Hey Jude	Lennon	Lennon	1	23	B-side
"Real Love"	1995	Anthology 2	Lennon, with McCartney, Harrison, Starkey	Lennon	4	11	
"Revolution 1"	1968	The Beatles	Lennon	Lennon	—	—	
"Revolution 9"	1968	The Beatles	Lennon, with Ono and Harrison	N/A	—	—	
"Revolution"	1968	UK: 1967-1970 US: Hey Jude	Lennon	Lennon	1	12	Hey Jude B-side
"Rip It Up/"Shake, Rattle, and Roll"/"Blue Suede Shoes""	1969	Anthology 3	Blackwell-Marascalco ("Rip It Up"), Calhoun ("Shake, Rattle, and Roll"), Perkins ("Blue Suede Shoes")	Lennon and McCartney	—	—	Cover
"Rock and Roll Music"	1964	UK: Beatles for Sale US: Beatles '65	Berry	Lennon	—	—	Cover
"Rocky Raccoon"	1968	The Beatles	McCartney, with Lennon	McCartney	—	—	
"Roll Over Beethoven"	1963	UK: With the Beatles US: The Beatles Second Album	Berry	Harrison	—	68	Cover
"Run for Your Life"	1965	Rubber Soul	Lennon, with McCartney	Lennon	—	—	
"Savoy Truffle"	1968	The Beatles	Harrison	Harrison	—	—	
"Searchin'"	1962	Anthology 1	Leiber, Stoller	McCartney	—	—	Cover
"September in the Rain"	1962		Al Dubin, Harry Warren	McCartney	—	—	Cover
"Sexy Sadie"	1968	The Beatles	Lennon	Lennon	—	—	Originally called "Maharishi"
"Sgt. Pepper's Lonely Hearts Club Band (Reprise)"	1967	Sgt. Pepper's Lonely Hearts Club Band	McCartney	McCartney, with Lennon and Harrison	—	—	
"Sgt. Pepper's Lonely Hearts Club Band"	1967	Sgt. Pepper's Lonely Hearts Club Band	McCartney	McCartney, with Lennon	63	71	Co-authorship claim by Mal Evans
"Shakin' in the Sixties"	1969		Lennon	Lennon	—	—	
"She Came in Through the Bathroom Window"	1969	Abbey Road	McCartney	McCartney	—	—	
"She Loves You"	1963	UK: A Collection of Beatles Oldies US: The Beatles Second Album	Lennon and McCartney	Lennon and McCartney	1	1	
"She Said She Said"	1966	Revolver	Lennon	Lennon	—	—	
"She's a Woman"	1964	UK: Rarities US: Beatles '65	McCartney	McCartney	—	4	B-side
"She's Leaving Home"	1967	Sgt. Pepper's Lonely Hearts Club Band	McCartney, with Lennon	McCartney, with Lennon	—	—	arranged by Mike Leander
"Shout"	1964	Anthology 1	Isley, Isley, Isley	Lennon, McCartney, Harrison and Starkey	—	—	Cover
"Sie Liebt Dich"	1964	UK: Rarities US: Rarities	Lennon and McCartney/Nicolas/Montague	Lennon–McCartney	—	97	German version of "She Loves You"; the German translators were credited as co-writers
"Slow Down"	1964	UK: Rock 'n' Roll Music US: Something New	Williams	Lennon	—	25	Cover; B-side (US); EP release (UK)
"So How Come (No One Loves Me)"	1963	Live at the BBC	Bryant, Bryant	Harrison	—	—	Cover
"Soldier of Love (Lay Down Your Arms)"	1963	Live at the BBC	Cason, Moon	Lennon	—	—	Cover
"Some Other Guy"	1963	Live at the BBC	Leiber, Stoller, Barrett	Lennon and McCartney	—	—	Cover
"Something"	1969	Abbey Road	Harrison	Harrison	4	1	Double A-side with Come Together"
"Sour Milk Sea"	1968		Harrison	Harrison	—	—	The Beatles (White album) out take
"Step Inside Love/Los Paranoias"	1968	Anthology 3	McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)	McCartney	—	—	"Step Inside Love" was recorded by Cilla Black, 1968
"Strawberry Fields Forever"	1966	Magical Mystery Tour	Lennon	Lennon	2	8	Double A-side with "Penny Lane"
"Sun King"	1969	Abbey Road	Lennon	Lennon	—	—	
"Sure to Fall (In Love with You)"	1963	Live at the BBC	Perkins, Claunch, Cantrell	McCartney	—	—	Cover
"Sweet Little Sixteen"	1963	Live at the BBC	Berry	Lennon	—	—	Cover
"Take Good Care of My Baby"	1962		Goffin, King	Harrison	—	—	Cover
"Taking a Trip to Carolina"	1969	Let It Be... Naked - Fly on the Wall bonus disc	Starkey	Starkey	—	—	From the Get Back Sessions
"Taxman"	1966	Revolver	Harrison, with uncredited contribution from Lennon	Harrison	—	—	
"Teddy Boy"	1969	Anthology 3	McCartney	McCartney	—	—	The Beatles (White Album) outtake
"Tell Me What You See"	1965	UK: Help! US: Beatles VI	McCartney, with Lennon	McCartney, with Lennon	—	—	
"Tell Me Why"	1964	UK: A Hard Day's Night US: Something New	Lennon	Lennon	—	—	
"Thank You Girl"	1963	UK: Rarities US: The Beatles Second Album	Lennon and McCartney	Lennon and McCartney	—	35	B-Side
"That Means a Lot"	1965	Anthology 2	McCartney	McCartney	—	—	Authorship unclear; recorded by P.J. Proby
"That'll Be the Day"	1958	Anthology 1	Allison, Holly, Petty	Lennon	—	—	Cover
"That's All Right (Mama)"	1963	Live at the BBC	Crudup	McCartney	—	—	Cover
"The Ballad of John and Yoko"	1969	UK: 1967-1970 US: Hey Jude	Lennon	Lennon, with McCartney	1	8	The story of John and Yoko Ono's relationship; Paul joins in at the end
"The Continuing Story of Bungalow Bill"	1968	The Beatles	Lennon	Lennon, with Starkey	—	—	Featuring Yoko Ono and Maureen Starkey as background singers
"The End"	1969	Abbey Road	McCartney	McCartney	—	—	
"The Fool on the Hill"	1967	Magical Mystery Tour	McCartney	McCartney	—	—	All vocals sung by Paul McCartney, w/Paul & the other Beatles on Instruments
"The Honeymoon Song"	1963	Live at the BBC	Theodorakis, Sansom	McCartney	—	—	Cover
"The Inner Light"	1968	UK: Rarities US: Rarities	Harrison	Harrison	—	96	B-side
"The Long and Winding Road"	1969	Let It Be	McCartney	McCartney	—	1	
"The Night Before"	1965	Help!	McCartney	McCartney	—	—	
"The Saints"	1962		Traditional, arr. Sheridan	Sheridan	—	—	
"The Sheik of Araby"	1962	Anthology 1	Smith, Wheeler-Snyder	Harrison	—	—	Cover
"The Word"	1965	Rubber Soul	Lennon and McCartney	Lennon, McCartney and Harrison	—	—	
"There's a Place"	1963	UK: Please Please Me US: Rarities	Lennon and McCartney	Lennon and McCartney	—	—	
"Things We Said Today"	1964	UK: A Hard Day's Night US: Something New	McCartney	McCartney	—	—	
"Think for Yourself"	1965	Rubber Soul	Harrison	Harrison	—	—	
"This Boy"	1963	UK: Rarities US: Meet The Beatles!	Lennon	Lennon, with McCartney and Harrison	—	—	B-Side
"Three Cool Cats"	1962	Anthology 1	Leiber, Stoller	Harrison	—	—	Cover
"Ticket to Ride"	1965	Help!	Lennon	Lennon, with McCartney	1	1	
"Till There Was You"	1963	UK: With the Beatles US: Meet The Beatles!	Willson	McCartney	—	—	Cover
"Tip of My Tongue"	1962		Lennon and/or McCartney	McCartney/Lennon	—	—	Recorded by The Beatles in November 1962, now lost; recorded by Tommy Quickly, released July 1963
"To Know Her is to Love Her"	1963	Live at the BBC	Spector	Lennon	—	—	Cover
"Tomorrow Never Knows"	1966	Revolver	Lennon	Lennon	—	—	
"Too Much Monkey Business"	1963	Live at the BBC	Berry	Lennon	—	—	Cover
"Twist and Shout"	1963	UK: Please Please Me US: The Early Beatles	Medley, Russell	Lennon	1	2	Cover
"Two of Us"	1969	Let It Be	McCartney	McCartney, with Lennon	—	—	Written for Linda McCartney
"Wait"	1965	Rubber Soul	McCartney, with Lennon	McCartney, with Lennon	—	—	
"Watching Rainbows"	1969		Lennon, with McCartney	Lennon	—	—	without Harrison
"We Can Work It Out"	1965	UK: A Collection of Beatles Oldies US: Yesterday and Today	McCartney, with Lennon	McCartney, with Lennon	1	1	Double A-side with "Day Tripper" Was inspired by Jane Asher
"What Goes On"	1965	UK: Rubber Soul US: Yesterday and Today	Lennon and McCartney, with Starkey	Starkey	—	81	
"What You're Doing"	1964	UK: Beatles for Sale US: Beatles VI	McCartney	McCartney	—	—	
"What's The New Mary Jane"	1968	Anthology 3	Lennon	Lennon	—	—	The Beatles (White Album) outtake, was inspired by Syd Barrett.
"When I Get Home"	1964	UK: A Hard Day's Night US: Something New	Lennon	Lennon	—	—	
"When I'm Sixty-Four"	1966	Sgt. Pepper's Lonely Hearts Club Band	McCartney	McCartney	—	—	
"While My Guitar Gently Weeps"	1968	The Beatles	Harrison	Harrison	—	—	featuring Eric Clapton on electric guitar
"Why Don't We Do It in the Road?"	1968	The Beatles	McCartney	McCartney	—	—	
"Wild Honey Pie"	1968	The Beatles	McCartney	McCartney	—	—	
"Winston's Walk"	1960		Lennon	N/A	—	—	
"With a Little Help from My Friends"	1967	Sgt. Pepper's Lonely Hearts Club Band	McCartney, with Lennon	Starkey	63	71	
"Within You Without You"	1967	Sgt. Pepper's Lonely Hearts Club Band	Harrison	Harrison	—	—	Performed by George Harrison with Session Musicians
"Woman"	1965		McCartney (as Bernard Webb or A. Smith)	McCartney	—	—	Single by Peter and Gordon, January 1966, performed by The Beatles in 1969 at "Let It Be" film sessions
"Words of Love"	1964	UK: Beatles for Sale US: Beatles VI	Holly	Lennon and McCartney	—	—	Cover
"Yellow Submarine"	1966	Revolver	McCartney	Starkey	1	2	
"Yer Blues"	1968	The Beatles	Lennon	Lennon	—	—	
"Yes It Is"	1965	UK: Rarities US: Beatles VI	Lennon	Lennon, McCartney and Harrison	1	46	B-side
"Yesterday"	1965	UK: Help! US: Yesterday and Today	McCartney	McCartney	8	1	Performed by Paul McCartney with String Section
"You Can't Do That"	1964	UK: A Hard Day's Night US: The Beatles Second Album	Lennon	Lennon	1	48	B-side
"You Know My Name (Look Up the Number)"	1967	UK: Rarities US: Rarities	Lennon, with McCartney	Lennon and McCartney	2	—	B-side
"You Know What to Do"	1964	Anthology 1	Harrison	Harrison	—	—	Full band demo recorded 3 June 1964
"You Like Me Too Much"	1965	UK: Help! US: Beatles VI	Harrison	Harrison	—	—	
"You Never Give Me Your Money"	1969	Abbey Road	McCartney	McCartney	—	—	
"You Won't See Me"	1965	Rubber Soul	McCartney	McCartney	—	—	
"You'll Be Mine"	1960	Anthology 1	Lennon and McCartney	McCartney	—	—	
"You're Going to Lose That Girl"	1965	Help!	Lennon	Lennon	—	—	
"You've Got to Hide Your Love Away"	1965	Help!	Lennon	Lennon	—	—	
"You've Really Got a Hold on Me"	1963	UK: With the Beatles US: Meet The Beatles!	Robinson	Lennon and Harrison	—	—	Cover
"Young Blood"	1963	Live at the BBC	Leiber, Stoller	Harrison	—	—	Cover
"Your Mother Should Know"	1967	Magical Mystery Tour	McCartney	McCartney	—	—	